Year,CIUDAD,Counts,DATE_DUE,DATE_DELIVERED,Link
2011,Abejorral,823823709,17/06/2013,17/07/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-138827
2013,Abejorral,1087664091,30/06/2014,29/12/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4332940
2014,Abejorral,1860197321,09/06/2015,09/09/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4332940
2014,Abejorral,11943142635,02/05/2015,02/08/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4332940
2014,Abejorral,15789173159,29/10/2015,01/01/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-141936
2014,Abejorral,7376355934,10/10/2015,10/12/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-141936
2010,Abrego,603923798,21/08/2010,22/10/2010,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-141936
2013,Abrego,645999766,06/04/2014,05/06/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-141936
2013,Abrego,4695902120,04/04/2014,04/10/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4165016
2014,Abrego,457998400,23/01/2015,24/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-13-4292274
2015,Abriaqui,25000000,13/11/2015,14/12/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130595
2011,Acacias,4435656706,21/07/2012,22/08/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-132347
2011,Acacias,1990843008,07/09/2012,09/12/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3506648
2011,Acacias,1251231444,29/04/2012,29/06/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-138470
2012,Acacias,1512533567,18/04/2013,18/07/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-147473
2012,Acacias,925611131,24/08/2012,25/01/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3687361
2012,Acacias,459280113,19/02/2013,21/03/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130031
2013,Acacias,3554743035,22/10/2012,22/11/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-135648
2013,Acacias,431024129,25/09/2013,26/10/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136279
2014,Acacias,11200516920,07/01/2015,09/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3807970
2014,Acacias,6349649488,07/01/2015,09/04/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-140834
2014,Acacias,4678375978,29/07/2015,29/10/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-4027010
2014,Acacias,2428998212,03/03/2015,03/06/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3831774
2014,Acacias,597457281,03/06/2014,04/07/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3314050
2014,Acacias,297678899,15/11/2014,16/12/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130918
2014,Acacias,714131004,30/12/2014,01/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3534997
2010,Acacias,2499811656,29/10/2011,29/01/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-131320
2014,Acacias,40363473,04/08/2014,05/09/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-128188
2015,Acandi,98051266,22/05/2015,23/07/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-142613
2013,Achi,826546576,12/01/2014,13/05/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-142613
2013,Achi,5304230058,30/07/2014,28/12/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-142613
2015,Agua de Dios,68000000,29/12/2015,30/01/2016,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-142613
2011,Agua de Dios,149739754,07/02/2012,09/06/2012,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3861700
2014,Agua de Dios,179874734,13/11/2014,14/12/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-134454
2012,Aguachica,4421349773,10/01/2013,12/04/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-136676
2012,Aguada,653596965,11/04/2013,13/06/2013,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3449439
2014,Aguada,1343321954,07/01/2015,08/03/2015,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3973614
2013,Aguada,75001681,10/11/2013,11/01/2014,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-1-130113
